TICKER,CUR_MKT_CAP,TRADE_DATE
CMG,8790.11357,2025-07-22
CNG,1010.85978,2025-07-22
FUE,12736.24,2025-07-22
GEE,44688.59463,2025-07-22
TLD,556.62811,2025-07-22
VSN,1407.7383,2025-07-22
ABS,305.6,2025-07-22
FUE,301.78,2025-07-22
HAG,15860.98924,2025-07-22
SKG,708.20047,2025-07-22
ST8,181.33236,2025-07-22
TSJ,2094.3272,2025-07-22
VIB,59093.979340000005,2025-07-22
ABB,9418.83453,2025-07-22
BSI,11200.955300000001,2025-07-22
BSQ,850.5,2025-07-22
CEO,12105.104080000001,2025-07-22
CQN,2341.558,2025-07-22
DGC,38851.33165,2025-07-22
DSN,559.44332,2025-07-22
HHP,861.21571,2025-07-22
HPG,203016.07186000003,2025-07-22
HPX,1663.80214,2025-07-22
IJC,4986.27867,2025-07-22
NVT,724.905,2025-07-22
PAC,2383.99062,2025-07-22
PGI,2229.0256,2025-07-22
PGS,1749.95779,2025-07-22
SCR,3616.9982999999997,2025-07-22
TSC,616.1684399999999,2025-07-22
VFM,,2025-07-22
BCR,1089.7398,2025-07-22
BTT,540.0,2025-07-22
CTI,1577.5999299999999,2025-07-22
DGW,10180.38612,2025-07-22
DHT,7073.02833,2025-07-22
HHS,7559.754440000001,2025-07-22
NO1,172.32,2025-07-22
PNJ,29026.05814,2025-07-22
SGN,2193.09685,2025-07-22
TCO,322.60240999999996,2025-07-22
VOC,1705.2,2025-07-22
VTP,14735.74808,2025-07-22
ABT,590.04058,2025-07-22
CDN,3286.8,2025-07-22
CMM,2036.31996,2025-07-22
CSV,4022.1967200000004,2025-07-22
DNW,3840.0,2025-07-22
DRL,531.05,2025-07-22
FTS,14102.46897,2025-07-22
HTP,119.34647,2025-07-22
ISH,1201.5,2025-07-22
KBC,26792.92289,2025-07-22
PGB,6510.0,2025-07-22
SBT,17757.08183,2025-07-22
TPB,40421.9298,2025-07-22
VAF,787.20577,2025-07-22
VNR,4052.7381299999997,2025-07-22
ABR,254.0,2025-07-22
BRR,2171.25,2025-07-22
ITC,1515.77377,2025-07-22
KLB,7338.08212,2025-07-22
LSG,2016.0,2025-07-22
PAT,2377.5,2025-07-22
SID,2050.0,2025-07-22
SJS,15034.590189999999,2025-07-22
VIT,924.99378,2025-07-22
VNS,665.02008,2025-07-22
BWE,10457.60702,2025-07-22
CII,8743.69881,2025-07-22
IDC,14981.99678,2025-07-22
NET,1751.55285,2025-07-22
PHS,2000.09329,2025-07-22
PLC,2084.5772,2025-07-22
PVS,15964.07409,2025-07-22
TCR,143.54345,2025-07-22
THG,1796.19563,2025-07-22
TVN,5424.0,2025-07-22
VAB,8261.38866,2025-07-22
VIF,5740.0,2025-07-22
APG,2717.0066,2025-07-22
FDC,579.35232,2025-07-22
FUE,,2025-07-22
FUE,181.293,2025-07-22
GEX,42863.95003,2025-07-22
IDJ,988.8941,2025-07-22
PHR,8333.20068,2025-07-22
PXL,2727.96435,2025-07-22
SC5,252.47196,2025-07-22
SHP,3683.9112099999998,2025-07-22
VCF,8484.06018,2025-07-22
VCP,2279.0787,2025-07-22
VPG,710.86264,2025-07-22
APH,1624.26922,2025-07-22
FMC,2507.6638900000003,2025-07-22
NTC,4024.7966499999998,2025-07-22
PAN,6789.07938,2025-07-22
SBS,879.6456,2025-07-22
VNL,312.50476000000003,2025-07-22
C47,264.57171999999997,2025-07-22
CRE,4312.209360000001,2025-07-22
DRI,1002.84,2025-07-22
IDP,11742.84968,2025-07-22
KSF,19950.0,2025-07-22
PDN,5506.57276,2025-07-22
PDR,18507.595690000002,2025-07-22
STK,2522.2237200000004,2025-07-22
VCG,15127.35906,2025-07-22
BMI,2752.33847,2025-07-22
CC1,12284.860470000001,2025-07-22
E1V,6364.31,2025-07-22
PTL,341.0,2025-07-22
VHM,392257.84638,2025-07-22
VPD,2734.02398,2025-07-22
CVT,1060.36663,2025-07-22
HII,321.90738,2025-07-22
HND,5950.0,2025-07-22
HTI,583.81128,2025-07-22
L18,1376.76777,2025-07-22
PLX,47202.50153,2025-07-22
PTI,2773.61897,2025-07-22
QNS,17867.70024,2025-07-22
THD,10972.499199999998,2025-07-22
VC7,960.90556,2025-07-22
VGI,225546.40991999998,2025-07-22
ABI,2063.16488,2025-07-22
DCM,18634.88,2025-07-22
FUE,966.654,2025-07-22
LLM,1466.9603100000002,2025-07-22
PGV,21514.41308,2025-07-22
QTP,5940.0,2025-07-22
SHI,2634.2180099999996,2025-07-22
SMB,1271.4672,2025-07-22
TRA,2847.6521000000002,2025-07-22
VCI,30168.55,2025-07-22
VSH,11705.75374,2025-07-22
ACL,626.98774,2025-07-22
AGM,61.88,2025-07-22
DQC,358.25486,2025-07-22
EIB,50572.86448,2025-07-22
GHC,1434.64125,2025-07-22
OGC,1380.0,2025-07-22
PGD,2504.6319700000004,2025-07-22
VBB,9277.661259999999,2025-07-22
VLB,2247.25894,2025-07-22
CCL,434.94435,2025-07-22
FUC,,2025-07-22
HAP,745.53227,2025-07-22
HHC,1790.325,2025-07-22
OIL,12100.48515,2025-07-22
PTB,3661.53064,2025-07-22
SBM,1536.0329,2025-07-22
HPW,1380.24908,2025-07-22
MDG,149.70932000000002,2025-07-22
MSN,111759.92064,2025-07-22
SEA,4899.6276,2025-07-22
SSB,56900.0,2025-07-22
TDH,523.83537,2025-07-22
VEA,50494.4,2025-07-22
VRC,640.0,2025-07-22
DCL,1636.11907,2025-07-22
DTD,1247.0292299999999,2025-07-22
DTT,147.54794,2025-07-22
ACC,1480.4998999999998,2025-07-22
BCF,1442.66126,2025-07-22
DNP,2706.5478900000003,2025-07-22
HAX,1681.43101,2025-07-22
HCM,27322.90378,2025-07-22
ND2,1894.77108,2025-07-22
PPC,3590.8662000000004,2025-07-22
VCA,154.15132,2025-07-22
TPC,182.38734,2025-07-22
VID,216.43117,2025-07-22
BTP,719.77864,2025-07-22
CDC,659.66148,2025-07-22
FIR,613.5424300000001,2025-07-22
HRT,,2025-07-22
NAF,1204.1791899999998,2025-07-22
NKG,6467.399230000001,2025-07-22
CTD,8641.83719,2025-07-22
DIG,13251.83942,2025-07-22
DPM,15809.9041,2025-07-22
DTL,624.49914,2025-07-22
IDI,2002.35566,2025-07-22
IMP,8039.26782,2025-07-22
LIX,2093.04,2025-07-22
MPC,5733.41769,2025-07-22
PSH,214.48863,2025-07-22
RTB,2902.185,2025-07-22
SGR,2106.73092,2025-07-22
VGR,4554.0,2025-07-22
KSV,38280.0,2025-07-22
POW,32669.10882,2025-07-22
TIG,1568.21026,2025-07-22
TMG,1022.4,2025-07-22
TVT,325.5,2025-07-22
VCW,2767.5,2025-07-22
VPL,158527.75333,2025-07-22
BWS,3400.2573500000003,2025-07-22
CAP,606.21761,2025-07-22
CMV,149.78591,2025-07-22
DNA,1396.97326,2025-07-22
FUE,2231.999,2025-07-22
GMD,23992.98084,2025-07-22
HDC,5511.16845,2025-07-22
NBB,2313.6912599999996,2025-07-22
REE,37266.07996,2025-07-22
SHS,15563.64263,2025-07-22
STB,93318.17794,2025-07-22
VIX,31624.02657,2025-07-22
AIC,1150.0,2025-07-22
BMP,11771.60288,2025-07-22
CST,685.54837,2025-07-22
DPR,3662.24203,2025-07-22
GIL,1965.8868200000002,2025-07-22
HRC,992.2875300000001,2025-07-22
LEC,112.23,2025-07-22
NTL,2537.18192,2025-07-22
